,Source,Target,Weight,Type
0,Neil Ellis Sauvignon Blanc 2013,Jackal Bird,1,Undirected
1,Neil Ellis Sauvignon Blanc 2013,Bell Tower Estate Wine,1,Undirected
2,Neil Ellis Sauvignon Blanc 2013,Semillon,1,Undirected
3,Neil Ellis Sauvignon Blanc 2013,De Wetshof Estate Bateleur Chardonnay,1,Undirected
4,Neil Ellis Sauvignon Blanc 2013,Spice Route Chakalaka,1,Undirected
5,Neil Ellis Sauvignon Blanc 2013,Jordan Nine Yards Chardonnay,1,Undirected
6,Neil Ellis Sauvignon Blanc 2013,Kloovenburg Shiraz,1,Undirected
7,Neil Ellis Sauvignon Blanc 2013,Laibach Ladybird,1,Undirected
8,Neil Ellis Sauvignon Blanc 2013,Morgenhof Estate Chenin Blanc,1,Undirected
9,Neil Ellis Sauvignon Blanc 2013,Rupert & Rothschild Classique,1,Undirected
10,Neil Ellis Sauvignon Blanc 2013,Saronsburg Viognier,1,Undirected
11,Neil Ellis Sauvignon Blanc 2013,Tokara Reserve Noble Late Harvest 2009,1,Undirected
12,Neil Ellis Sauvignon Blanc 2013,Vondeling Chardonnay,1,Undirected
13,Sauvignon Blanc 2013,Chenin Blanc 2014,1,Undirected
14,Sauvignon Blanc 2013,100% Pinotage,1,Undirected
15,Sauvignon Blanc 2013,Chardonnay 2013,1,Undirected
16,Sauvignon Blanc 2013,Anthony Rupert Optima,1,Undirected
17,Sauvignon Blanc 2013,Hamilton Russel Vineyards Chardonnay 2009,1,Undirected
18,Sauvignon Blanc 2013,The Morgenster,1,Undirected
19,Sauvignon Blanc 2013,Saronsburg Viognier,2,Undirected
20,Sauvignon Blanc 2013,Tokara Reserve Noble Late Harvest 2009,2,Undirected
21,Sauvignon Blanc 2013,Vondeling Chardonnay,1,Undirected
22,Sauvignon Blanc 2013,Viogner,1,Undirected
23,Chenin Blanc 2014,Chardonnay 2013,1,Undirected
24,Chenin Blanc 2014,Hamilton Russel Vineyards Chardonnay 2009,1,Undirected
25,Chenin Blanc 2014,Morgenhof Estate Chenin Blanc,1,Undirected
26,Chenin Blanc 2014,Saronsburg Viognier,1,Undirected
27,Chenin Blanc 2014,Tokara Reserve Noble Late Harvest 2009,1,Undirected
28,Chenin Blanc 2014,Vondeling Chardonnay,1,Undirected
29,Chenin Blanc 2014,Viogner,1,Undirected
30,Jackal Bird,Pinotage 2013,1,Undirected
31,Jackal Bird,Secateurs Bordeaux Blend,1,Undirected
32,Jackal Bird,Storm Wines,1,Undirected
33,Jackal Bird,Anthony Rupert Optima,1,Undirected
34,Jackal Bird,Galpin Peak Pinot Noir,1,Undirected
35,Jackal Bird,Claime D'or Cabernet Franc,1,Undirected
36,Jackal Bird,Semillon,1,Undirected
37,Jackal Bird,Lady May,1,Undirected
38,Jackal Bird,Kloovenburg Shiraz,1,Undirected
39,Jackal Bird,The Morgenster,1,Undirected
40,Jackal Bird,Muratie Shiraz,1,Undirected
41,Jackal Bird,Rupert & Rothschild Classique,2,Undirected
42,Jackal Bird,Rustenburg Stellenbosch John X Merriman,1,Undirected
43,Jackal Bird,Waterkloof Circumstance Syrah,1,Undirected
44,Pinotage 2013,100% Pinotage,1,Undirected
45,Pinotage 2013,Secateurs Bordeaux Blend,1,Undirected
46,Pinotage 2013,The Bernard Series',1,Undirected
47,Pinotage 2013,Storm Wines,1,Undirected
48,Pinotage 2013,Anthony Rupert Optima,1,Undirected
49,Pinotage 2013,Bell Tower Estate Wine,1,Undirected
50,Pinotage 2013,Galpin Peak Pinot Noir,1,Undirected
51,Pinotage 2013,Claime D'or Cabernet Franc,1,Undirected
52,Pinotage 2013,Spice Route Chakalaka,1,Undirected
53,Pinotage 2013,Lady May,2,Undirected
54,Pinotage 2013,Kloovenburg Shiraz,1,Undirected
55,Pinotage 2013,The Morgenster,1,Undirected
56,Pinotage 2013,Muratie Shiraz,1,Undirected
57,Pinotage 2013,Rupert & Rothschild Classique,1,Undirected
58,Pinotage 2013,Rustenburg Stellenbosch John X Merriman,1,Undirected
59,Pinotage 2013,Waterkloof Circumstance Syrah,1,Undirected
60,100% Pinotage,The Bernard Series',1,Undirected
61,100% Pinotage,Storm Wines,1,Undirected
62,100% Pinotage,Anthony Rupert Optima,1,Undirected
63,100% Pinotage,Bell Tower Estate Wine,1,Undirected
64,100% Pinotage,Galpin Peak Pinot Noir,1,Undirected
65,100% Pinotage,Spice Route Chakalaka,1,Undirected
66,100% Pinotage,Lady May,1,Undirected
67,100% Pinotage,The Morgenster,1,Undirected
68,100% Pinotage,Muratie Shiraz,1,Undirected
69,100% Pinotage,Saronsburg Viognier,1,Undirected
70,100% Pinotage,Tokara Reserve Noble Late Harvest 2009,1,Undirected
71,100% Pinotage,Vondeling Chardonnay,1,Undirected
72,100% Pinotage,Waterkloof Circumstance Syrah,1,Undirected
73,Secateurs Bordeaux Blend,Storm Wines,2,Undirected
74,Secateurs Bordeaux Blend,Anthony Rupert Optima,2,Undirected
75,Secateurs Bordeaux Blend,Galpin Peak Pinot Noir,1,Undirected
76,Secateurs Bordeaux Blend,Claime D'or Cabernet Franc,1,Undirected
77,Secateurs Bordeaux Blend,Spice Route Chakalaka,1,Undirected
78,Secateurs Bordeaux Blend,Lady May,2,Undirected
79,Secateurs Bordeaux Blend,Kloovenburg Shiraz,2,Undirected
80,Secateurs Bordeaux Blend,Laibach Ladybird,1,Undirected
81,Secateurs Bordeaux Blend,The Morgenster,1,Undirected
82,Secateurs Bordeaux Blend,Muratie Shiraz,2,Undirected
83,Secateurs Bordeaux Blend,Rupert & Rothschild Classique,2,Undirected
84,Secateurs Bordeaux Blend,Rustenburg Stellenbosch John X Merriman,1,Undirected
85,Secateurs Bordeaux Blend,Waterkloof Circumstance Syrah,1,Undirected
86,The Bernard Series',Chardonnay 2013,2,Undirected
87,The Bernard Series',Bell Tower Estate Wine,2,Undirected
88,The Bernard Series',Claime D'or Cabernet Franc,1,Undirected
89,The Bernard Series',De Wetshof Estate Bateleur Chardonnay,1,Undirected
90,The Bernard Series',Spice Route Chakalaka,2,Undirected
91,The Bernard Series',Lady May,2,Undirected
92,The Bernard Series',Hamilton Russel Vineyards Chardonnay 2009,1,Undirected
93,The Bernard Series',Jordan Nine Yards Chardonnay,2,Undirected
94,The Bernard Series',Kloovenburg Shiraz,1,Undirected
95,The Bernard Series',Laibach Ladybird,1,Undirected
96,The Bernard Series',Muratie Shiraz,1,Undirected
97,The Bernard Series',Rupert & Rothschild Classique,2,Undirected
98,The Bernard Series',Rustenburg Stellenbosch John X Merriman,1,Undirected
99,The Bernard Series',Saronsburg Viognier,2,Undirected
100,The Bernard Series',Tokara Reserve Noble Late Harvest 2009,1,Undirected
101,The Bernard Series',Viogner,1,Undirected
102,Chardonnay 2013,Bell Tower Estate Wine,1,Undirected
103,Chardonnay 2013,Claime D'or Cabernet Franc,1,Undirected
104,Chardonnay 2013,De Wetshof Estate Bateleur Chardonnay,1,Undirected
105,Chardonnay 2013,Spice Route Chakalaka,1,Undirected
106,Chardonnay 2013,Lady May,1,Undirected
107,Chardonnay 2013,Hamilton Russel Vineyards Chardonnay 2009,2,Undirected
108,Chardonnay 2013,Jordan Nine Yards Chardonnay,2,Undirected
