,ID,Flower,Citrus,Tree Fruit,Tropical Fruit,Red Fruit,Black Fruit,Dried Fruit,Noble Rot,Spice,Vegetable,Earth,Microbial,Oak Aging,General Aging,Cork Taint (TCA),Sulfides & Mercaptans,Brettanomyces,Madeirized (or Cooked),Volatile Acidity (Acetic Acid)
0,Neil Ellis Sauvignon Blanc 2013,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Sauvignon Blanc 2013,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Chenin Blanc 2014,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Jackal Bird,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Pinotage 2013,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,100% Pinotage,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6,Secateurs Bordeaux Blend,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,The Bernard Series',0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
8,Chardonnay 2013,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
9,Storm Wines,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Anthony Rupert Optima,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
11,Bell Tower Estate Wine,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12,Galpin Peak Pinot Noir,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Claime D'or Cabernet Franc,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,Semillon,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
15,De Wetshof Estate Bateleur Chardonnay,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Spice Route Chakalaka,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
17,Lady May,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
18,Hamilton Russel Vineyards Chardonnay 2009,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,Jordan Nine Yards Chardonnay,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
20,Kloovenburg Shiraz,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
21,Laibach Ladybird,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
22,Morgenhof Estate Chenin Blanc,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,The Morgenster,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,Muratie Shiraz,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
25,Rupert & Rothschild Classique,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
26,Rustenburg Stellenbosch John X Merriman,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,Saronsburg Viognier,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
28,Tokara Reserve Noble Late Harvest 2009,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
29,Vondeling Chardonnay,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Viogner,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,Waterkloof Circumstance Syrah,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
