CommonName;Latitude;Longitude;Wine;Vintage;Origin;TastingNotes;Alcohol;RS;pH;TA;VA;TSO2;FSO2;MainVariety;WineType;WineStyle;WineBody;WineTaste;Wooded
Bellingham Wines;-33,52944183;19,01231003;The Bernard Series Hand Picked Viognier 2015;2015;Coastal Region;Luminescent gold brushed by youthful green glimmers. Overtly peachy with sumptuous white pear, spice and honeysuckle aromas and flavours that follow through to a richly fruited finish, that whilst full, is still refreshing and effortlessly woven with well;;;;;;;;Viognier;White;Dry;Full;;
Durbanville Hills Cellar;-33,82494354;18,56601906;Durbanville Hills Vineyard Luipaardsberg Selection Merlot 2011;2011;Durbanville;Colour: Ruby red.<br />Nose: Concentration of ripe fruit, mint chocolate and mocha on the nose with hints of spicy plums, star anise and cinnamon.<br />Taste: Rich and full-bodied with well integrated tannins, hints of spice, ripe fruit on the mid-palate ;14.5;2.9;3.64;5.6;;;;Merlot;Red;Dry;Full;;
Namaqua Wines;0;0;G̫iya Chardonnay / Sauvignon Blanc 2011;2011;;For more information about the brand, please visit<b> <a href=http://www.namaquawines.com/>www.namaquawines.com.</a></b>;13.0;7.38;3.5;6.19;0.36;;;Chardonnay;White;Off Dry;;;
Namaqua Wines;0;0;G̫iya Shiraz / Pinotage 2011;2011;;For more information about the brand, please visit<b> <a href=http://www.namaquawines.com/>www.namaquawines.com.</a></b>;14.0;5.93;3.53;5.8;0.49;;;Shiraz;Red;;;;
Ken Forrester Wines;-34,02584839;18,81930923;The FMC 2014;2014;Stellenbosch;"The pinnacle of what we consider to be the finest expression of the grapes of this varietal - an icon chenin, a challenge to the world! Rich, layered with dried apricot, vanilla and honey.<br />Will&nbsp;gain&nbsp;additional&nbsp;complexity&nbsp;with&nbsp";14.0;7.1;3.37;6.8;;;;Chenin Blanc;White;;;;
Rietvallei Wine Estate;-33,82659531;19,97723579;Rietvallei Estate Dark Cin 2015;2015;Robertson;"<p>This uniquely dark and decadent Cinsaut truly personifies its name. Dark Cin is as enchanting as it is captivating with a touch of the mysterious&hellip; Dark plum red in colour. The nose reveals dark earthy black berry fruit with touches of spice and ";13.82;3.0;3.40;6.2;0.50;120;35;Cinsaut;Red;Dry;Full;Fruity;
Groot Constantia Estate (founded 1685);-34,03107834;18,41889954;Groot Constantia Semillon/Sauvignon Blanc 2015;2015;;It looks like: Packed under cork in Burgundy shaped bottle with the elegant Groot Constantia livery. In the glass it is a pale yellow straw colour with green flashes when held up to the light. It smells like: A generosity of fruit, ripe white fleshed peac;13.17;1.4;3.28;5.9;;;;Semillon;White;Dry;Full;Fruity;
Bovlei Cellar;-33,63833237;19,03166771;Bovlei Vin Rogue 500ml 2011;2011;Wellington;This superb wine would show its full potential by being enjoyed as it was blended, and at room temperature. One sip will reveal a lot of secrets. An easy drinking, everyday wine and ideal for picnics.;;;;;;;;Pinotage;Red;Dry;Light;Fruity;
Morgenhof Wine Estate;-33,89402008;18,86060905;Morgenhof Estate Cabernet Sauvignon 2012;2011;Simonsberg-Stellenbosch;"A dark ruby red colour welcomes you to a nose filled with flavours of cassis &amp; dark chocolate. These flavours follow through onto a balanced palate with a hint of spice and a lingering finish.";14.0;3.2;3.70;5.1;;;;Cabernet Sauvignon;Red;Dry;Full;Fruity;
Lemberg Wine Estate;0;0;Lemberg Pinot Noir 2011;2011;Tulbagh;The wine shows red fruit, dark cherries with an underlying chalkiness evident from the soil it grows in. The fruit follows trough on the elegant and 13.5% alcohol palate. The wine's quality is complemented by the firm and concentrated tannin structure whi;;;;;;;;Pinot Noir;Red;;;;
